provice,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Beijing,360,386,432,448,466,447,492,570,667,654,706,682,610,642,596,615,540,539,417,321,290
Tianjin,82,83,75,104,109,136,152,187,208,208,222,256,162,168,184,156,163,191,213,152,151
Hebei,1292,1450,1542,1619,1855,1890,2253,2746,2914,2976,3420,3908,3534,3645,3705,5055,5080,5012,4175,3474,3691
Shanxi,670,740,748,755,637,823,886,1057,1240,1209,1330,1391,1123,1230,1739,2236,2300,2327,2183,1668,1659
Inner Mongolia,207,245,264,294,340,370,380,521,674,864,886,1271,1508,1778,2209,2749,2572,2759,2717,2414,2550
Liaoning,840,896,838,851,981,1034,1064,1245,1219,1318,1453,1901,1937,2321,2275,2723,2543,2634,2518,1929,1658
Jilin,393,412,424,439,510,598,591,767,866,1133,1074,1420,1483,1882,2039,2263,1991,2048,2217,1950,1592
Heilongjiang,367,404,435,491,526,551,551,659,658,693,854,949,896,1021,1310,1495,1476,1437,1298,1065,1134
Shanghai,112,87,87,65,82,112,91,199,248,269,196,183,157,130,82,76,70,66,60,38,36
Jiangsu,1673,1697,1671,1872,1984,2219,2573,3439,3696,4093,4725,4562,4750,4904,4704,4822,5162,5074,5434,4911,4797
Zhejiang,1746,1717,1771,1930,2185,2411,2913,3769,4378,4591,4934,4713,4557,4585,4698,4741,4471,4775,4703,4197,3936
Anhui,2307,2388,2052,2240,2020,2464,2517,3327,3568,3482,4320,5279,5554,6658,7075,7564,8103,8675,9145,9076,9125
Fujian,843,867,855,1057,884,1009,981,1431,1353,1598,1888,2538,2608,2864,3008,3512,3440,3685,3590,3505,3566
Jiangxi,503,504,561,643,721,778,958,1269,1484,1788,2134,2628,2889,3326,3294,3699,3776,4356,4603,4325,4281
Shandong,2910,3068,2929,3179,3528,3851,4387,5445,6757,7620,7459,7255,6918,6528,6931,8171,7583,7383,7453,6713,6968
Henan,1457,1640,1892,1853,1832,2260,2178,2370,2533,3127,3462,4343,3847,4602,4425,5009,5221,5824,5955,5589,5133
Hubei,825,983,1096,1053,1182,1318,1400,1678,1702,2113,2416,2580,2907,3336,4230,4433,4675,4802,4917,4693,4788
Hunan,1223,1194,1301,1248,1327,1500,1503,1768,1825,2031,2532,3034,3237,3814,4435,4632,4751,5055,5392,5056,5193
Guangdong,2950,2923,2975,3235,3417,3434,4279,4466,4349,4693,5763,5916,5721,5524,5986,6012,4921,5519,6027,5765,5847
Guangxi,1076,1071,1169,1185,1275,1217,1376,1578,1565,1879,1979,2347,2854,3554,3781,4532,4934,5295,5167,5218,5503
Hainan,116,121,147,188,207,201,225,265,272,287,303,311,328,498,573,725,867,992,1063,1071,1048
Chongqing,493,627,775,780,922,1095,1136,1361,1275,1434,1596,1790,2074,2185,2815,3086,3210,3539,3820,3822,3726
Sichuan,1630,1277,1376,1429,1539,1725,1811,2301,2088,2443,2726,3667,3676,4569,6480,7010,6217,6291,6548,6150,6246
Guizhou,291,358,327,409,456,686,644,944,808,960,1160,1198,1216,1502,2100,2782,3520,4211,4887,4941,5250
Yunnan,698,827,988,1016,954,1016,1066,1317,1414,1753,1881,1898,2025,2608,2823,3028,3537,4038,4233,4021,4613
Tibet,12,17,20,21,26,26,31,68,52,67,103,103,107,127,152,162,193,197,225,301,391
Shaanxi,507,656,497,566,570,844,757,1075,1132,1223,1492,1732,2046,2307,2644,3038,3114,3372,3554,3249,2690
Gansu,332,345,371,410,425,513,627,695,757,814,859,881,934,1030,1353,1613,1836,2213,2443,2302,2192
Qinghai,42,44,59,67,71,99,150,179,191,209,219,264,261,304,399,530,604,753,758,698,730
Ningxia,124,139,178,193,219,245,290,392,443,436,420,566,544,657,837,867,856,1008,934,884,981
Xinjiang,331,375,440,487,548,589,594,702,716,747,789,926,1035,1245,1651,1502,2588,2783,2698,2218,2156
