,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Beijing,657,702,783,815,841,809,888,1000,1222,1184,1229,1169,885,1080,1049,921,884,908,704,554,510
Tianjin,205,209,188,261,272,339,380,451,526,519,609,615,556,700,832,940,849,959,1071,778,789
Hebei,3360,3769,3986,4193,4775,4878,5798,6816,7634,7686,8625,9478,9264,11012,12772,14497,13153,12846,10721,9126,9899
Shanxi,1290,1423,1431,1448,1214,1573,1688,1950,2401,2311,2681,2781,2483,2793,3670,4091,5084,5139,4832,3786,3852
Inner Mongolia,394,467,499,558,641,698,715,949,1291,1632,2211,2871,3262,4478,5470,6483,6072,6487,6405,5831,6298
Liaoning,1719,1833,1706,1736,1988,2101,2156,2442,2512,2681,3294,3912,4125,4827,4786,5785,5513,6076,5821,4568,4011
Jilin,600,628,644,669,772,907,894,1120,1331,1719,1799,2083,2342,2764,3080,3792,3248,3417,3706,3325,2765
Heilongjiang,646,711,763,863,919,966,962,1115,1167,1214,1483,1744,2131,2643,3592,4368,3992,4102,3715,3112,3381
Shanghai,438,339,339,255,317,434,353,745,977,1045,1131,959,808,783,671,804,800,756,686,434,418
Jiangsu,3985,4040,3955,4441,4678,5247,6065,7831,8861,9681,10976,11850,13249,14728,15685,14996,16929,18166,19496,18056,18038
Zhejiang,3498,3437,3524,3850,4330,4791,5771,7199,8829,9129,9952,10409,10218,10873,11329,12166,11594,12576,12413,11331,10848
Anhui,2238,2316,1978,2164,1938,2372,2415,3075,3487,3353,4580,5402,6172,7138,8069,9548,11022,12286,12982,13208,13584
Fujian,1484,1525,1496,1852,1540,1762,1707,2402,2398,2792,3399,4500,4653,5482,5919,6792,7271,7967,7779,7787,8106
Jiangxi,1048,1050,1162,1334,1488,1608,1976,2526,3114,3701,4300,5096,5352,6168,6263,6857,7584,9299,9849,9458,9553
Shandong,5546,5842,5550,6035,6659,7287,8279,9942,12959,14426,16670,14987,14142,14491,14899,15035,15480,16364,16553,15249,16156
Henan,3045,3424,3929,3856,3787,4686,4503,4726,5329,6487,7605,9384,10358,11876,11657,13789,14913,16911,17331,16676,15672
Hubei,1762,2098,2328,2242,2503,2797,2963,3448,3655,4486,5203,5639,5899,7037,9004,9480,10392,11135,11424,11145,11601
Hunan,2269,2213,2398,2307,2437,2762,2760,3137,3407,3742,4589,5683,6168,7685,8822,9341,10591,11401,12187,11680,12240
Guangdong,5210,5158,5222,5690,5973,6018,7479,7536,7732,8229,9704,9896,9768,10160,11611,12682,11504,13533,14812,14530,15081
Guangxi,1907,1897,2060,2092,2236,2140,2413,2667,2795,3306,3655,4350,5246,6499,7517,8724,10000,10993,10752,11144,12035
Hainan,181,188,229,292,320,313,349,398,428,446,585,633,661,939,1264,1518,1675,2004,2152,2225,2228
Chongqing,770,979,1204,1215,1427,1699,1759,2039,2005,2226,2619,3000,3271,3641,4621,5004,5571,6198,6703,6840,6790
Sichuan,3009,2356,2526,2629,2814,3162,3311,4063,3880,4480,5060,6376,6280,9100,12882,14486,13487,14055,14661,14091,14616
Guizhou,515,633,574,721,797,1204,1127,1592,1439,1685,1907,2059,2076,2675,3810,5296,6760,8252,9598,9941,10799
Yunnan,1136,1344,1598,1646,1538,1641,1717,2054,2315,2833,3306,3569,4110,5022,5786,6772,8027,9192,9663,9436,11104
Tibet,23,32,38,40,50,50,59,125,102,128,167,160,169,188,219,232,287,298,342,468,623
Shaanxi,903,1168,881,1004,1006,1493,1335,1829,2033,2165,2515,3175,3672,4532,5513,6575,7648,8670,9159,8579,7264
Gansu,581,604,646,715,736,892,1086,1162,1335,1416,1454,1540,1635,1825,2425,2753,3658,4461,4935,4764,4640
Qinghai,75,79,104,118,126,176,265,307,343,371,371,437,462,611,811,1045,1412,1852,1870,1768,1895
Ningxia,163,182,232,252,285,319,376,494,584,568,710,846,903,1072,1422,1460,1618,1942,1804,1750,1985
Xinjiang,555,629,734,814,910,981,986,1129,1208,1245,1224,1514,1691,2040,2471,3164,4323,5230,5082,4278,4250
