Year,Location,cement production[10^4t],Clinker production[10^4t],Clinker-to-cement ratios,Coal consumption[10^4t],Electricity consumption[10kWh],Process-related CO2 emissions[10^4t],Coal-related CO2 emissions[10^4t],Electricity-related CO2 emissions[10^4t],Total CO2[10^4t]
1996,Beijing,657,421.0484488,0.655531747,88.75149104,107.0217329,209.00845,44.28699403,107.0217329,360.3171769
1996,Tianjin,205,94.21547083,0.46989384,23.70147632,22.955783,46.76855972,11.82703668,22.955783,81.55137941
1996,Hebei,3360,1815.335351,0.552440064,322.1868724,229.6455563,901.1324684,160.7712493,229.6455563,1291.549274
1996,Shanxi,1290,839.3925278,0.665569956,141.1760413,182.8945224,416.6744508,70.4468446,182.8945224,670.0158178
1996,Inner Mongolia,394,278.3420968,0.72174352,90.61000401,23.86284619,138.1690169,45.214392,23.86284619,207.2462551
1996,Liaoning,1719,1080.027735,0.642410764,257.1216775,175.1209667,536.1257678,128.3037171,175.1209667,839.5504517
1996,Jilin,600,535.1575774,0.911854632,87.27487542,83.58220372,265.6522214,43.55016284,83.58220372,392.784588
1996,Heilongjiang,646,456.2879143,0.721853843,91.04081813,94.6744973,226.5013207,45.42936825,94.6744973,366.6051862
1996,Shanghai,438,146.7252104,0.342797021,12.56439847,32.61563812,72.83439444,6.269634837,32.61563812,111.7196674
1996,Jiangsu,3985,2247.263807,0.576677267,374.1398125,370.7412238,1115.541754,186.6957665,370.7412238,1672.978744
1996,Zhejiang,3498,2486.084815,0.726717812,391.2205918,317.0762787,1234.092502,195.2190753,317.0762787,1746.387856
1996,Anhui,2238,3370.00793,1.539472153,586.1234305,341.3584441,1672.871936,292.4755918,341.3584441,2306.705972
1996,Fujian,1484,1201.264052,0.827810161,196.1045702,148.8544998,596.3074753,97.85618054,148.8544998,843.0181556
1996,Jiangxi,1048,687.9534446,0.671520608,123.1229214,99.67356839,341.5000899,61.43833777,99.67356839,502.6119961
1996,Shandong,5546,3740.975527,0.689677423,635.5281888,735.9732867,1857.020252,317.1285662,735.9732867,2910.122105
1996,Henan,3045,2049.881365,0.688242794,381.6829295,249.3453083,1017.56111,190.4597818,249.3453083,1457.3662
1996,Hubei,1762,950.0439063,0.551305087,331.1227478,188.0701475,471.6017951,165.2302512,188.0701475,824.9021937
1996,Hunan,2269,1614.546093,0.727712746,360.7220443,241.6710181,801.4606804,180.0003001,241.6710181,1223.131999
1996,Guangdong,5210,4033.000916,0.791441903,742.7270908,577.6783435,2001.981655,370.6208183,577.6783435,2950.280817
1996,Guangxi,1907,1547.516068,0.829806315,301.6659591,156.8532328,768.186976,150.5313136,156.8532328,1075.571522
1996,Hainan,181,132.9558203,0.751005647,22.32343474,38.68415606,65.99926919,11.13939394,38.68415606,115.8228192
1996,Chongqing,770,621.9045121,0.825999596,118.9723912,124.6095488,308.7133998,59.36722323,124.6095488,492.6901719
1996,Sichuan,3009,2177.77729,0.739973124,444.0071857,327.102694,1081.048647,221.5595856,327.102694,1629.710926
1996,Guizhou,515,408.1917249,0.81074435,73.63197303,51.84186705,202.6263722,36.74235454,51.84186705,291.2105938
1996,Yunnan,1136,888.4466651,0.799398953,211.3979941,151.9804451,441.0249246,105.4875991,151.9804451,698.4929687
1996,Tibet,23,16.03582094,0.719418315,3.917341687,1.862323768,7.960181513,1.954753502,1.862323768,11.77725878
1996,Shaanxi,903,715.5562991,0.810010651,129.3379306,86.79447942,355.2021469,64.53962736,86.79447942,506.5362537
